method,surface_temperature,temperature_0,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,temperature_6,temperature_7,temperature_8,temperature_9,specific_humidity_0_dex,specific_humidity_1_dex,specific_humidity_2_dex,specific_humidity_3_dex,specific_humidity_4_dex,specific_humidity_5_dex,specific_humidity_6_dex,specific_humidity_7_dex,specific_humidity_8_dex,specific_humidity_9_dex,asr,olr,cloud_fraction_0,cloud_fraction_1,cloud_fraction_2,cloud_fraction_3,cloud_fraction_4,cloud_fraction_5,cloud_fraction_6,cloud_fraction_7,cloud_fraction_8,cloud_fraction_9,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9
coord_deeponet,13.559215545654297,10.600811958312988,10.347291946411133,10.569478988647461,11.000024795532227,11.27457332611084,11.501601219177246,11.760854721069336,12.233522415161133,13.870672225952148,14.971230506896973,0.4055596590042114,0.4241377115249634,0.45864352583885193,0.5139221549034119,0.5829059481620789,0.66437166929245,0.7221130728721619,0.7641340494155884,0.8678589463233948,0.8655298352241516,45.457366943359375,23.677631378173828,0.10973095148801804,0.09373058378696442,0.0714695081114769,0.05286645516753197,0.051791299134492874,0.05997113138437271,0.05069587752223015,0.03698742762207985,0.027410997077822685,0.002572320168837905,4.045180797576904,5.000703811645508,6.887980937957764,8.809065818786621,10.714960098266602,12.23588752746582,14.09588623046875,15.460067749023438,17.313228607177734,22.76175308227539,2.9624550342559814,3.566262722015381,4.664495468139648,5.656712055206299,6.294050216674805,6.505453109741211,6.672036170959473,6.187064170837402,5.6637678146362305,5.204403400421143
coord_mlp,15.657968521118164,9.878825187683105,9.1727933883667,8.635406494140625,8.496901512145996,8.801321029663086,9.466874122619629,10.382123947143555,11.371150016784668,13.823426246643066,13.373926162719727,0.41881969571113586,0.4201522469520569,0.438757061958313,0.4962256848812103,0.5739325881004333,0.6709623336791992,0.7516618371009827,0.7844817042350769,0.9125036001205444,0.8610785007476807,97.50498962402344,32.69647216796875,0.11613008379936218,0.10094910115003586,0.07933393865823746,0.060558710247278214,0.05399997904896736,0.05508509278297424,0.05302032455801964,0.04145539179444313,0.028217248618602753,0.0024335335474461317,4.184579372406006,5.14254903793335,7.367166996002197,9.517721176147461,11.438955307006836,13.136700630187988,14.674121856689453,14.308793067932129,16.65498161315918,22.500154495239258,3.003296375274658,3.64229416847229,4.901639461517334,5.925633430480957,6.427596569061279,6.546736240386963,6.539184093475342,5.855661869049072,5.106130123138428,4.2880706787109375
gplfr,11.617372512817383,8.904833793640137,8.835460662841797,8.648512840270996,8.582515716552734,8.794618606567383,8.994478225708008,8.93449878692627,8.990072250366211,10.553324699401855,11.329526901245117,0.31781598925590515,0.3258020281791687,0.35982856154441833,0.41474682092666626,0.47203585505485535,0.5651760101318359,0.6147555708885193,0.6362668871879578,0.7124026417732239,0.7652496099472046,30.99085235595703,20.807254791259766,0.09180355817079544,0.08079741150140762,0.06629068404436111,0.04947376623749733,0.043605122715234756,0.04579159989953041,0.04266204312443733,0.03351053223013878,0.02168171852827072,0.0034140199422836304,3.376150608062744,4.090867042541504,5.737247943878174,7.68184232711792,9.596270561218262,11.114813804626465,12.766132354736328,13.097895622253418,13.001608848571777,20.662195205688477,2.373002290725708,2.866154670715332,3.8941750526428223,4.819147109985352,5.442474365234375,5.606237411499023,5.8902812004089355,5.6752495765686035,4.959842205047607,3.565852642059326
knn,19.82741928100586,13.826321601867676,13.435527801513672,13.367815017700195,13.774006843566895,14.346858978271484,15.448565483093262,17.187015533447266,19.697240829467773,20.754796981811523,18.32549285888672,0.5628225803375244,0.57340008020401,0.6303370594978333,0.7242303490638733,0.829059898853302,0.9742172360420227,1.1187859773635864,1.2140376567840576,1.2834826707839966,1.241573452949524,47.82229995727539,32.006126403808594,0.1327465921640396,0.12035106122493744,0.09668590873479843,0.08035791665315628,0.07005144655704498,0.06829837709665298,0.059683289378881454,0.05176270753145218,0.03211509436368942,0.024099232628941536,3.622695207595825,4.42565393447876,6.2980523109436035,8.494525909423828,10.747801780700684,12.585373878479004,14.575185775756836,15.732991218566895,15.927570343017578,22.32942008972168,2.63379168510437,3.185703992843628,4.2503743171691895,5.225694179534912,5.8269500732421875,6.118710041046143,6.602892875671387,6.379642009735107,5.445970058441162,3.6953256130218506
pca_mlp,13.888522148132324,9.97498607635498,9.83341121673584,9.655365943908691,9.600263595581055,9.590582847595215,9.517500877380371,9.57253646850586,9.940973281860352,8.78244400024414,17.2772216796875,0.38393598794937134,0.40095898509025574,0.4468895494937897,0.5034392476081848,0.5570504665374756,0.6358617544174194,0.6937461495399475,0.6771969199180603,0.6928948760032654,0.8454278707504272,44.71782684326172,23.144634246826172,0.11607503145933151,0.09981061518192291,0.08440045267343521,0.0664437785744667,0.06415089964866638,0.07119018584489822,0.065703384578228,0.05049765855073929,0.026337726041674614,0.008105620741844177,4.056834697723389,4.817060470581055,6.682989597320557,8.76352310180664,10.857177734375,12.82529067993164,15.13979721069336,16.194690704345703,16.263437271118164,26.339515686035156,2.8151588439941406,3.3673388957977295,4.5736403465271,5.692349433898926,6.42275333404541,6.767889499664307,7.075892448425293,6.792923927307129,6.065859794616699,6.70811653137207
pca_ridge,17.72698211669922,14.168723106384277,13.733402252197266,13.001105308532715,12.779458045959473,12.87902545928955,13.298700332641602,14.45149040222168,17.44675636291504,19.393558502197266,16.327043533325195,0.45128726959228516,0.446607381105423,0.47846072912216187,0.5543630719184875,0.6351791620254517,0.7549552917480469,0.8718240261077881,0.9888407588005066,1.1144158840179443,1.1628618240356445,54.92954635620117,28.342466354370117,0.1180504634976387,0.10853426903486252,0.08686687052249908,0.06485860049724579,0.054751861840486526,0.05768691003322601,0.053380027413368225,0.04110768809914589,0.02919299528002739,0.0022965813986957073,4.1409125328063965,5.2853546142578125,7.851143836975098,10.386198997497559,12.354593276977539,13.521027565002441,15.19603157043457,17.10983657836914,19.680797576904297,21.316808700561523,2.9124083518981934,3.608586311340332,5.056325435638428,6.2896223068237305,6.7991623878479,6.889700412750244,7.019613265991211,6.665220737457275,5.914765357971191,4.23954439163208
ppca_icm,12.141182899475098,9.883283615112305,9.641526222229004,9.50555419921875,9.751707077026367,9.560162544250488,9.505901336669922,8.809682846069336,9.540907859802246,11.989039421081543,11.920157432556152,0.3719640076160431,0.375355988740921,0.41218477487564087,0.4617516100406647,0.5112754702568054,0.5923372507095337,0.6458737850189209,0.6901369690895081,0.8385148644447327,0.7765219807624817,59.409820556640625,23.25975227355957,0.11056916415691376,0.09539175033569336,0.07589548081159592,0.06634825468063354,0.0618150532245636,0.06412041187286377,0.061128173023462296,0.05080530419945717,0.024702096357941628,0.009340229444205761,3.452871799468994,4.170499324798584,5.930989742279053,8.196324348449707,10.5454683303833,12.045618057250977,13.387606620788574,13.67299747467041,15.399510383605957,22.52330780029297,2.41225004196167,2.9164059162139893,4.044396877288818,5.184185981750488,5.956844806671143,6.505824565887451,7.063486576080322,6.677449703216553,5.755079746246338,4.3793044090271
train_mean,23.13995933532715,18.36591339111328,16.796436309814453,15.63037109375,15.43210220336914,15.776026725769043,17.974145889282227,21.22052574157715,26.41566276550293,27.68288230895996,34.318119049072266,0.5746631026268005,0.587884247303009,0.6626353859901428,0.7737136483192444,0.8939231634140015,1.05842125415802,1.2280274629592896,1.3498615026474,1.3853049278259277,1.6533390283584595,211.15423583984375,37.267879486083984,0.1927996128797531,0.16613993048667908,0.12265894562005997,0.09875838458538055,0.09076393395662308,0.08908826112747192,0.07954119890928268,0.05625423043966293,0.03886011987924576,0.01036878488957882,4.641302108764648,6.190842151641846,10.24337387084961,14.33668041229248,17.59757423400879,18.55866813659668,18.603580474853516,18.881235122680664,21.077669143676758,24.39816665649414,3.3672897815704346,4.247334957122803,6.021437168121338,7.478142738342285,8.133784294128418,8.357239723205566,8.61564826965332,8.32848072052002,7.755403518676758,8.39954662322998
